10000; 0.127
20000; 0.476
30000; 1.086
40000; 1.915
50000; 2.998
60000; 4.281
70000; 5.757
80000; 7.634
90000; 9.745
100000; 11.901
10000; 0.148
20000; 0.556
30000; 1.012
40000; 1.745
50000; 2.728
60000; 3.947
70000; 5.462
80000; 7.049
90000; 9.170
100000; 11.081
10000; 0.121
10000; 0.000
20000; 0.531
20000; 0.000
30000; 1.014
30000; 0.000
40000; 1.727
40000; 0.000
50000; 2.718
50000; 0.000
60000; 3.945
60000; 0.000
70000; 5.549
70000; 0.000
80000; 7.090
80000; 0.000
90000; 9.312
90000; 0.001
100000; 10.989
100000; 0.000
10000; 0.129
10000; 0.000
10000; 0.000
10000; 0.122
10000; 0.000
20000; 0.486
20000; 0.000
20000; 0.001
20000; 0.505
20000; 0.002
30000; 0.977
30000; 0.000
30000; 0.002
30000; 1.052
30000; 0.003
40000; 1.759
40000; 0.001
40000; 0.003
40000; 1.977
40000; 0.003
50000; 2.809
50000; 0.000
50000; 0.002
50000; 3.069
50000; 0.005
60000; 3.983
60000; 0.000
60000; 0.003
60000; 4.301
60000; 0.005
70000; 5.363
70000; 0.001
70000; 0.004
70000; 5.864
70000; 0.007
80000; 7.209
80000; 0.001
80000; 0.006
80000; 7.683
80000; 0.007
90000; 9.169
90000; 0.000
90000; 0.008
90000; 9.893
90000; 0.009
100000; 10.948
100000; 0.000
100000; 0.008
100000; 11.930
100000; 0.013
10000; 0.124
10000; 0.000
10000; 0.000
10000; 0.151
10000; 0.001
20000; 0.522
20000; 0.000
20000; 0.001
20000; 0.480
20000; 0.002
30000; 1.033
30000; 0.000
30000; 0.002
30000; 1.092
30000; 0.003
40000; 1.724
40000; 0.000
40000; 0.004
40000; 1.875
40000; 0.004
50000; 2.746
50000; 0.000
50000; 0.003
50000; 3.072
50000; 0.005
60000; 4.037
60000; 0.000
60000; 0.004
60000; 4.305
60000; 0.005
70000; 5.428
70000; 0.001
70000; 0.005
70000; 5.848
70000; 0.006
80000; 6.976
80000; 0.000
80000; 0.009
80000; 7.498
80000; 0.009
90000; 8.914
90000; 0.001
90000; 0.016
90000; 9.820
90000; 0.008
100000; 11.020
100000; 0.000
100000; 0.007
100000; 12.358
100000; 0.011
10000; 0.118
10000; 0.000
10000; 0.000
10000; 0.155
10000; 0.002
10000; 0.001
20000; 0.560
20000; 0.000
20000; 0.002
20000; 0.615
20000; 0.002
20000; 0.002
30000; 1.001
30000; 0.000
30000; 0.002
30000; 1.070
30000; 0.003
30000; 0.001
40000; 1.733
40000; 0.000
40000; 0.002
40000; 1.852
40000; 0.004
40000; 0.003
50000; 2.768
50000; 0.000
50000; 0.003
50000; 2.968
50000; 0.004
50000; 0.003
60000; 3.994
60000; 0.000
60000; 0.003
60000; 4.367
60000; 0.008
60000; 0.005
70000; 5.392
70000; 0.000
70000; 0.004
70000; 5.889
70000; 0.006
70000; 0.004
80000; 7.089
80000; 0.000
80000; 0.004
80000; 7.565
80000; 0.007
80000; 0.006
90000; 8.892
90000; 0.001
90000; 0.007
90000; 9.526
90000; 0.008
90000; 0.006
100000; 10.983
100000; 0.001
100000; 0.005
100000; 12.072
100000; 0.010
100000; 0.008
10000; 0.125
10000; 0.079
10000; 0.001
10000; 0.411
10000; 0.001
10000; 0.001
20000; 0.446
20000; 0.257
20000; 0.004
20000; 1.620
20000; 0.004
20000; 0.002
30000; 1.027
30000; 0.573
30000; 0.006
30000; 3.361
30000; 0.008
30000; 0.003
40000; 1.717
40000; 0.995
40000; 0.008
40000; 6.053
40000; 0.007
40000; 0.003
50000; 2.749
50000; 1.576
50000; 0.013
50000; 9.322
50000; 0.014
50000; 0.003
60000; 3.879
60000; 2.241
60000; 0.013
60000; 13.560
60000; 0.012
60000; 0.004
70000; 5.451
70000; 3.232
70000; 0.015
70000; 18.404
70000; 0.013
70000; 0.004
80000; 7.107
80000; 4.233
80000; 0.018
80000; 24.152
80000; 0.024
80000; 0.007
90000; 9.156
90000; 5.304
90000; 0.020
90000; 30.501
90000; 0.018
90000; 0.006
100000; 11.083
100000; 6.594
100000; 0.025
100000; 37.548
100000; 0.020
100000; 0.007
10000; 0.132
10000; 0.169
10000; 0.002
10000; 0.525
10000; 0.001
10000; 0.001
20000; 0.492
20000; 0.543
20000; 0.001
20000; 1.715
20000; 0.002
20000; 0.001
30000; 1.019
30000; 1.150
30000; 0.002
30000; 3.871
30000; 0.003
30000; 0.002
40000; 1.831
40000; 2.012
40000; 0.002
40000; 6.762
40000; 0.006
40000; 0.002
50000; 2.744
50000; 3.082
50000; 0.005
50000; 10.671
50000; 0.006
50000; 0.003
60000; 3.994
60000; 4.600
60000; 0.005
60000; 15.578
60000; 0.007
60000; 0.004
70000; 5.537
70000; 6.287
70000; 0.005
70000; 21.154
70000; 0.009
70000; 0.005
80000; 7.124
80000; 8.132
80000; 0.008
80000; 27.323
80000; 0.012
80000; 0.005
90000; 8.987
90000; 10.263
90000; 0.010
90000; 34.485
90000; 0.011
90000; 0.006
100000; 11.295
100000; 12.795
100000; 0.007
100000; 43.007
100000; 0.016
100000; 0.006
